StudentID,OrderedCourseSequence
STNR000026,"['11996', '10022', '2402', '42610', '88383', 'B11-15', 'S11-05-1', '11124', '11526', '42430', '42282', '41628', '31241', '11080', '42433', '31240', '11353', '11909', '42281', 'S11-05-2', '11142', '11320', '11900', 'E11-30']"
STNR000027,"['1035', '1035', '42435', '2267', '2282', '2281', '2291', '2220', '2238', '2282', '2281', '2242', '2242', '2287', '2287', '2249', '2232', '2268', '2282', '2249', '2285', '2224', 'S01-05-1', '2289', '2242', '2242', '88383', '2289', 'E01-30', '2289']"
STNR000028,"['11821', '11832', '11823', '11836', '11825', '11837', '11833', '11829', '11831', '11835', '62990', '11764', '11343', '62259', '62263', '62273', '62298', '1036', '62261', '1035', '11562', '62279', '11343', '62261', 'PRA62-30', '62270', '11562', '88383']"
STNR000029,"['24002', 'KU002-2', '24004', '1005', 'KU003', '2632', '2402', '1035', '2631', '26050', 'KU011', '27022', '26400', '27023', '2601', '10050', '1606', '42611', '26411', '2450', 'KU030-1', '88383', '22110', 'KU015', '22110', 'B23-20', '2411', '27641', 'KU101', '22100', '22202', '27322', '2443']"
STNR000030,"['27001', 'KU002-2', '1005', '1604', 'KU003', '2632', '2402', '26050', 'KU011', '1035', '27022', '10050', '1606', '26400', 'KU105', '25106', '2450', '42611', 'KU015', '27023', '22111', '88383']"
STNR000031,"['27001', 'KU002-2', '1005', '1604', 'KU003', '1005', '2402', '26050', 'KU011', '2633', '1035', '27022', '10050', '1606', '26400', 'KU105', '22110', '42611', 'KU015', '23256', '22111', '88383']"
STNR000032,"['12003', '42421', '2402', '12102', '41102', '12500', '42610', '42101', '10022', '12203', '2633', 'B42-15', '25105', '11462', '88383', '42340', '42401', '42490', '42575', '42351', '42452', '42371', '42433', '42543', '42372', '42281', '42879', '42112', 'S42-10-1']"
STNR000033,"['2110', '2450', '2157', '2132', '2148', '1410', '2141', '2122', '10020', '88383', 'B01-15', '42610', '26028', '2159', '2156', '2266', '2247', '42634', '2285', '2269', '2239', '2456', '2267', '2233', '2291', '42415', '2193']"
STNR000034,"['42429', '2633', '28121-1', '2402', '28845', '28140', '42610', '28150-1', '27022', '28221', 'B28-20', '28242', '28420', '28233-2', '28530', '28831', '28451', '28361', '28350', '28231', '2393', '2610', '2417', '28852', '88383', '2619', 'E28-30']"
STNR000035,"['28121-1', '2402', '26261', '28140', '42610', '2631', '28150-1', '27022', '28221', 'B28-20', '28242', '28420', '28845', '28233-2', '28530', '28451', '28361', '28350', '28231', '28244', '2610', '28852', '28870', '88383', '2619', 'E28-30']"
STNR000036,"['26008', '28001', '26000', '26006', '26301', '26201', '1015', '26124', '26124', '26004', '1025', '26411', '26222', '26010', '28020', '10020', '26231', '26245', '2631', '28125', '2402', '42610', '88383', 'B26-20', '42429', 'B28-20', '26510', '28361', '28160']"
STNR000037,"['2565', '10022', '2157', '2158', 'B01-15', '2158', '2157', 'S01-05-1', '10022', '2805', '2158', '2157', '2806', '2808', '2180', '42634', '42087', '2823', '88383', '2454', '42348', '2454', '2504', '2512', '2285', '2826', 'E01-30']"
STNR000038,"['11462', '41111', '11351', '11563', '11318', '11463', '11320', '41214', '11352', '41106', '11353', '11375', '88383', '11374', '11066', '42490', 'E11-30']"
STNR000039,"['42101', '1018', '2635', '1025', '1125', '1410', '2450', '2417', '2526', '1666', '42611', '2418', '2502', '2610', '1418', '2441', '2806', '2105', '1604', 'B01-15', '2409', '1617', '2807', '42114', '2623', 'S01-05-1', '2424', '2582', '42490', '2443', '2582', '2427', '2471', '2456', '2460', '2477', '2170', '88383']"
STNR000040,"['10022', '42101', '1018', '2635', '1025', '1410', '1018', '2450', '2105', '2526', '1666', '42611', '2101', '2417', '2610', '2441', '2170', '1227', 'B01-15', '1604', '2180', '2413', '1617', '2502', '2807', '2623', 'S01-05-1', '2582', '42490', '2805', '2471', '42114', '2456', '88383', '2460', '42106', 'S01-05-2', '2285']"
STNR000041,"['27008', '2631', '42610', 'B26-20', '2402', '26438', '26433', '28864-1', '88383', '26317', '26444', '26231', 'S26-05-1', '26290', '27423', '26130', '23301', '23302', 'S26-05-2', '42490', '22508', 'S26-10-1', '26330', '2413', 'E26-30']"
STNR000042,"['11996', '2402', '11203', '11112', '11115', '11142', '31241', '42430', 'B11-20', '11066', '42610', '42280', '11034', '42490', '11900', '11116', '11221', '11222', '11080', 'E11-30', '88383']"
STNR000043,"['26134', '26330', '28315', '28310', '47303', '28212', '10303', '88383', '26231', '26231', '26290', '26236', '26134', '26422', '26130', '26236', 'E26-32']"
STNR000044,"['2805', '2156', '31385', '2157', '2158', '2450', '42610', 'B01-20', '2234', 'S01-05-1', '42490', '2232', '2220', '2233', '2224', '2247', '2268', '2291', '88383', '2263', 'E01-30']"
STNR000045,"['42582', '42580', '1017', '2633', '2170', '42101', '1005', '42415', '1034', '2450', '42005', '10052', '42583', '10054', '42584', '42875', '42430', '2402', '2105', 'B42-20', '42421', '2402', '42577', '42611', '88383', '42370', '42380', '42578', '42187', '42186', '42417']"
STNR000046,"['24002', 'KU002-2', '24004', '1005', 'KU003', '2632', '2402', '1035', '26050', 'KU011', '27022', '26400', '10050', '1606', '36610', 'KU105', '1017', '2450', 'KU030-1', '88383', 'KU015', 'B01-20', '42611', '2411', '27641', 'KU101', '22100', '22202', '27322', '2443']"
STNR000047,"['27002', '2633', '27002', '1015', '27008', '2632', '42415', '42429', '88383', '42415', '1015']"
STNR000048,"['42115', '42005', '1017', '41812', '41659', '42610', '41511', 'B41-15', '42112', '42371', '42459', '42490', '42417', 'S42-10-1', '42117', '42575', '42114', '42351', '88383', '42380', '42142', '42137', '42136', 'E42-35']"
STNR000049,"['26028', '1018', '2405', '1025', '1125', '1410', '2526', '2601', '2102', '2635', '2502', '42115', '42114', '42112', '42889', '1227', '2417', '1666', '2180', '42611', '42117', 'B42-15', '42117', '2443', '42178', '2807', '42401', 'S01-05-1', '42380', '42137', '42187', '42142', '88383']"
STNR000050,"['2633', '24023', '1035', '26050', 'KU011', 'KU011', '24006', '26050', '2601', '10050', 'KU003', '10050', 'KU030-1', '2450', '2413', '1017', '42610', 'KU011', 'KU015', '27022', '27008', '2450', '88383', 'KU003', 'KU003', 'KU115-1', 'B27-17', '26050', '26050', '42429', 'KU105', '27641', 'KU101', '22100', '22202', '27322', '22230']"
STNR000051,"['2633', '27022', '24023', '1035', '26050', 'KU011', '24006', '2450', '2601', '10050', '2417', '26400', '26400', 'KU030-1', '2101', '2405', '42101', '1017', '42610', '88383', 'KU015', 'B01-20', '2409', '1617', '42490', '2456', '2623', '2460', '2457', '2612', '2429', '2807', '2471', '42114']"
STNR000052,"['26008', '28001', '26000', '26006', '26006', '41650', '26000', '1015', '26301', '26201', '41650', '2633', '28001', '26201', '26010', '27022', '28020', '26124', '10020', '1015', '2403', '26400', '42613', '26400', '26004', '1015', '27022', '10020', '2403', '27002', '26411', '26222', '88383', '42430', '26400', '28020', '1015', '2403', '27022', '26201', '26400']"
STNR000053,"['2403', '2502', '1018', '1025', '1125', '2601', '2526', '1666', '10022', '2102', '2635', '2450', '42101', '42104', 'B42-20', '42112', '2435', '2417', '2601', '2180', '10022', '42611', '2413', '2170', '10022', '42490', '2443', '2807', '2561', '2614', '2460', '2506', '42186', '88383', '2285']"
STNR000054,"['B01-15', '2402', '42610', '31598', '2458', '2454', '1617', '2450', '1257', '2417', '2686', '2612', '2180', '2180', '88383', '2582', '2460', '42490', 'S01-05-1', 'E01-32']"
STNR000055,"['2101', '2121', '1017', '2402', '26027', '2161', '2105', 'S62-05-1', '1005', '2450', '2132', '2157', '2141', '10020', '2122', '2180', '42611', '2257', '2268', '2170', 'B01-15', '42101', '2232', '2110', 'S01-10-1', '2239', '88383', '2221', '2233', '2285', '2193', '42634']"
STNR000057,"['26134', '26330', '28310', '26134', 'E10-30', '26134', 'E26-30', '26134']"
STNR000058,"['S10-05-1', '10250', '33206', '42490', '33206', '33529', 'E10-30']"
STNR000059,"['S01-10-1', 'E10-30']"
STNR000060,"['47301', '47409', '33525', '33321', '47310', '10122', '10333', '47302', '33525', '10304', '10122', '33525', 'E10-30']"
STNR000061,"['10420', '33321', '10333', '10400', '34540', '41822', '10346', '10400', 'E10-30', '10400']"
STNR000062,"['E10-30', '33647']"
STNR000063,"['33526', '10380', '10400', '33206', '10401', 'E10-30']"
STNR000064,"['33528', 'E10-30']"
STNR000065,"['10200', '2393', '10380', '10400', '33525', 'S10-05-1', 'E10-30']"
STNR000066,"['S10-05-1', '33355', '42002', '42575', '33525', '10220', 'E10-30']"
STNR000067,"['2403', '10722', '10405', '10303', '10350', '10036', 'B10-20', '2402', '10036', 'S10-05-1', '10401', '10405', '42490', '10346', '10304', '10732', '22680', '10400', '1617', '10122', '1257', '31428', '1621', '2526', '10112', '22652', '1418', '10112', 'E10-30']"
STNR000068,"['30120-1', '34029', '1418', '10036', '33255', 'S10-05-1', '10102', '34020', '10722', '10303', 'B10-20', '10346', '10304', '10304', '10321', '10112', '10122', '10325', '47319', '42490', 'S22-05-1', 'E10-30', 'S10-12-1']"
STNR000069,"['E10-30', 'KU101', 'KU101']"
STNR000070,"['33257', '26000', '33323', '33253', 'B10-15', '33255', '10304', '47319', '2450', '33526', '33491', '10200', '34540', '22651', 'S47-10-1', '10315', '42634', 'S47-05-2', 'S47-07-1', 'S34-02-1', 'E10-30']"
STNR000071,"['S46-05-1', '2101', '10405', '10303', '10350', '47325', '10314', '42610', 'B47-15', '10112', '10122', '33442', '42490', '10346', '2450', '10302', '2686', '33528', '10305', '10323', '10316', '10304', 'S47-05-1', 'E10-30']"
STNR000072,"['10112', '42610', '10303', '10384', '30160', '30020', 'B33-15', '33321', '33206', '33442', '10302', '33525', 'S10-05-1', '10200', '10305', '10337', '10122', '42430', 'E10-30']"
STNR000073,"['10420', '2402', '42610', '10303', 'S33-10-1', 'S33-05-1', '34020', 'B33-20', '10321', '10122', '42430', '10304', 'E10-30']"
STNR000074,"['34127', 'S46-05-1', '2101', '10405', '10303', '10350', '47325', '10314', '42610', 'B10-15', '10112', '10122', '33442', '42490', '10346', '2450', '10302', '2686', '10306', '10305', '10380', '10323', '10316', 'E10-30', 'S10-05-1']"
STNR000075,"['10337', '10856', '10112', '10122', '10316', '10346', '10384', '42490', '10346', '10384', '10732', 'E10-30', '10337', '10112', 'E10-30']"
STNR000076,"['2633', '10405', '34029', '42610', '10036', '33255', '33257', '10102', '34031', '10720', '10303', '10346', 'S10-05-2', 'B10-15', '1325', '1715', '34451', '10112', '10122', '10316', 'S10-05-4', '31428', '10384', '10306', '22652', '10386', '10305', '10400', '42490', '10323', '2970', '1716', 'E10-30']"
STNR000077,"['2633', '34029', '1418', '10036', '33255', '10102', '34020', '34031', '2403', '42101', '10303', '42610', '42104', '1125', '2450', 'B22-20', '1325', '1715', '10112', 'S22-05-1', '10122', '10316', '10346', '10302', '10306', '1622', '42490', 'E10-30']"
STNR000078,"['10304', '47319', '10200', '10250', '47330', '10200', '10339', '10200', 'E10-35']"
STNR000079,"['33527', '33647', 'E10-35']"
STNR000080,"['10122', '10112', '10405', '42490', '33442', '33621', '10220', '10302', '33526', '33206', 'S33-10-1', 'E10-35']"
STNR000081,"['B10-20', '33321', '10333', '47316-1', '34540', '33525', '47319', '10304', '2450', 'S10-05-1', '47301', '10122', 'S10-05-2', '47318-1', '42490', '10122', 'E10-35']"
STNR000082,['E10-35']
STNR000083,"['33526', '10305', '33206', '42490', '10350', '10314', 'E10-35']"
STNR000084,"['S10-02-1', '10122', '34451', '10112', '10405', '33422', '10346', '33525', 'S10-05-3', '42490', '10420', 'E10-35', '10200', '10323', '1418', 'S10-10-1']"
STNR000085,"['B10-20', '10303', '33321', '10333', '47316-1', '34540', 'S33-05-1', '47319', '10304', '31761', '42435', 'S10-05-1', '33525', '42490', 'E10-35']"
STNR000086,"['10122', '34550', '10304', '10220', 'S10-05-2', '33525', '42490', '10314', '27008', '33722', 'S10-05-3', 'E10-35']"
STNR000087,"['33474', '10467', '10303', 'B33-20', 'S33-05-1', '33321', '33525', '42490', 'S10-05-1', '10304', '47319', '2450', '33722', '33491', 'S10-10-1', '34032', '10333', '34540', 'E10-35']"
STNR000088,"['10122', '33442', '33621', '10384', '10122', '10302', '33527', '10305', '33206', 'S33-10-1', '10122', '42634-1', '2450', '33722', '2450', '10856', 'E10-35']"
STNR000089,"['34032', '10112', '10400', '10401', '2632', '22485', '22481', '42490', '10814', '22656', 'E10-35']"
STNR000090,"['10420', 'S33-05-1', '2402', '42610', '10303', '42430', 'S33-05-2', 'B33-20', '34020', 'S33-10-1', '33529', 'S10-15-1', '42490', '33722', '10304', 'E10-35']"
STNR000091,"['S10-05-1', '47310', '22652', '22656', '10304', 'S10-05-2', 'E10-35']"
STNR000092,"['DE26-20', 'S28-05-1', '41683', '2323', '27026', '27419', '27022', '28342', '24102', '27022', '26436', '2323', '28342', '36685', '28022', '28855', '27322', '22231', '26436', '42490', '27430', '26436', '27430', '22235', '28850', '27322', '22179', '27322', '27102', '27430', '26436', '27102', 'S23-10-1', '27322']"
STNR000093,"['S28-05-1', 'PRA28-30', '41683', '62107', 'DE28-20', '23102', '42490', '42429', '23101', '23272', '23662', '23302', '23520', '23211', '28855', '42373']"
STNR000094,"['42340', '2323', 'S28-05-1', '23932', '26126', '28315', '2323', '26126', '28214', '23932', '26126', '23932', '28852', '28315', '28310', '47303', '26317', '28212', '28855', '26317', '41738', '28213', '26330', '28315', '28316', '28213', '28855', '28315', 'S26-20-1', '28212', '26610', '28213', '26330', 'E28-35', '28315', '42430', '26330', '28315', '28212', 'E47-30']"
STNR000095,"['11440', '28420', '26290', '28530', '28310', 'S28-05-1', '28434', 'S23-05-1', '28345', '28850', '28213', '23522', '28233', '28480', '28855', 'E28-32']"
STNR000096,"['42003', '42002', '28870', '12132', '31778', '12136', '41416', '41343', '42007', '42435', '28244', '12142', '46230', 'S28-05-1', 'E28-35']"
STNR000097,"['28242', '28420', '28530', '28831', '28443', '28361', '28350', 'P28-05-1', '28242', '28872', 'S28-10-1', '28480', '28242', '28872', 'E28-35', 'S28-05-1']"
STNR000098,"['28350', '28244', '28233-2', '28315', '28852', 'S28-05-1', 'E28-32']"
STNR000099,"['28350', '28811-1', '26436', 'S28-05-1', '28310', '28361', 'E28-30']"
STNR000100,"['28242', '28870', '28872', '28864-1', '28310', '28423', '28443', '28361', '28434', '28345', '28923', 'S28-05-1', '28420', '28852', '28530', 'E28-30']"
STNR000101,"['28271', '28350', '42429', '28244', '28420', '28870', 'S28-05-1', '28852', 'E28-30']"
STNR000102,"['28244', '28420', '28530', '28233', '28831', '28415', '28350', '28443', '28434', 'S28-05-1', '42490', '28455', 'E28-35']"
STNR000103,"['28244', '28242', '28420', '28845', '28530', '28451', '28361', '28443', '28242', '28852', '28530', '28455', '42490', '28350', 'S28-05-1']"
STNR000104,"['2633', 'S28-05-1', '26330', '26290', '26261', '41084', '28242', '26426', '28212', '28212', '26426', '26436', '26438', '26261', '26422', '28242', 'S26-05-1', 'S27-05-1', '26422', 'E27-30']"
STNR000105,"['11830', '41420', '41524', '11440', '11442', '28415', '12320', '11441', '28885', 'S28-05-1', 'E11-30']"
STNR000106,"['28811-1', 'S28-05-1', '26411', '26290', '42610', '2633', '41650', '26428', 'B28-20', '42372', '41736', 'S28-02-1', 'KTH60', '28310', 'E28-30']"
STNR000107,"['42004', '42003', '28872', '28870', '12132', '28871', '41421', '28350', 'S28-05-1', 'E12-30']"
STNR000108,"['42490', '28420', '28310', '26510', '28361', '28350', '28535', '42634', '28852', '28233', '28480', 'S28-05-1', '28864', 'E28-30']"
STNR000109,"['28244', '28242', '28420', '28315', 'S28-05-1', '42348', '28443', '28361', '28350', '28423', 'P28-05-1', '42490', '28852', 'S28-10-1', 'E28-30']"
STNR000110,"['41683', '2323', '28342', '28344', 'PRA28-30', '28157', '28352', '1035', '10916', '42430', '62107', '1035', 'DE28-20', '1035', '27405', '28233', '28480', '28855', '27455', '28361', '28345', 'S28-05-1', 'S28-20-1', '28310', '28455']"
STNR000111,"['12104', '42631', '28852', '12210', '12237', '12121', '12110', 'S12-10-1', '12233', '12138', 'S28-05-1', 'S12-10-2', 'E12-30']"
STNR000112,"['28344', '28344', 'PRA28-30', '28157', '28352', '27022', '12143', '28342', '27035-1', 'DE28-20', '62999', '27422', '27419', '27220', '28345', '28850', 'S28-05-1', 'S28-10-1', 'S27-05-1', '27405', 'S28-15-1', '28233', '28480', 'E28-35']"
STNR000113,"['2633', '2402', '28140', '28125', '42610', '28150-1', '28221', '10020', 'B28-20', '28242', '28420', '28530', '28831', '28443', '28361', '28423', '28315', '28244', '28852', '28845', '28451', '28350', 'S28-05-1', 'E28-30']"
STNR000114,"['28242', '28315', '26290', '28310', '28315', '47320', '28443', '28361', '28434', '47320', '42490', '28420', '28872', '28316', '28350', 'S28-05-1', 'E28-30']"
STNR000115,"['41683', '2323', '2508', '28344', '28157', '28352', '62999', '28342', '2633', 'PRA28-30', '1035', '28855', 'DE28-20', '42429', '28242', '28852', '28530', 'S28-05-1', '42433', '28242', '28530', '47301', '28244', '28420', '42490', '47519', '28443', '28350']"
STNR000116,"['47301', '26317', '26436', '47310', 'S28-05-1', '47302', 'S47-05-1', '28212', '26231', '26231', '26433', 'E47-35', 'S41-05-1']"
STNR000117,"['42429', '28852', '28530', '28310', 'E28-35', 'S28-05-1']"
STNR000118,"['27002', 'B12-20', '12237', '12136', 'S28-05-1', '42007', '42003', '42002', '28870', '42006', 'S42-05-1', '42372', '42004', '42435', '28434', 'E42-35']"
STNR000119,"['26371', '26171', '10916', '26173', '28012', '26271', '62999', '26471', '23932', '26374', '28012', '26271', '28012', '23932', '26474', '28322', '10916', '28016', '28022', '2508', '2323', '41683', '28342', '28344', '2323', '28342', 'S28-05-1', 'DE28-20', '28352', '23932', '28157', 'DE28-20', '2323', 'PRA28-30', '2323']"
STNR000120,"['26411', '24001', '27026', '27015', '26002', '28025', '36611', '26426', '10050', '2633', 'S26-05-1', '2402', '42610', 'B26-15', '26436', '26438', '26433', '26416', '27430', '26446', 'S28-05-1', '22235', '28850', '27322', '27102', '22231', 'S26-05-2', '22179', '22200', '27691', 'E26-30']"
STNR000121,"['26428', '2633', '26407', '36040', '27230', '27430', '42610', '2633', '28025', '2631', '26416', '28025', '2402', '27430', 'B26-20', '26436', '26438', '26433', '22179', '22235', '28850', '27322', 'S28-05-1', '27102', '22231', 'S26-15-1', '27692', '26446']"
STNR000122,"['26428', '2633', '26407', '36040', '27230', '27430', '42610', '2633', '28025', '26428', '26416', '23732', 'B26-20', '26436', '26438', '26433', '22179', '22235', '28850', '27322', 'S28-05-1', '27102', '22231', 'S26-15-1', '27692', '26446']"
STNR000123,"['1035', '26222', '26010', '27008', '28160', '28020', '28221', '10020', '2632', '2402', '26261', '28140', 'B28-20', '28244', '1418', '28150', 'S28-05-1', '42611', '28423', 'S41-05-1', '28361', '28434', '2393', '28855', '28242', '28451', '28415', '28350', 'S28-07-1', '28909']"
STNR000124,"['41737', '28811-1', '26422', '42490', 'S28-05-2', 'E28-35']"
STNR000125,"['PRA28-30', '1037', '28157', '28352', '23521', '1035', '28342', '62999', '2633', '2633', 'DE28-20', '28420', '28872', '23522', '28233-2', '28530', '28361', '28350', '28345', '28850', '28346', '28923', '28480', 'E28-30', 'S28-07-1']"
STNR000126,"['S28-07-1', '28242', 'E28-32']"
STNR000127,"['S41-05-1', '28350', '28530', 'S28-07-1', 'E28-32']"
STNR000128,"['28345', '28271', 'S28-15-1', '12108', '28246', '47320', 'S28-07-1', 'E28-35']"
STNR000129,"['1037', '41603', '41312', '41814', '2633', '41659', '42610', '41401', '41511', '41801', '42430', '26027', '41704', '46000', 'B41-15', '42003', 'S41-05-1', '42003', '28870', '41416', 'S28-10-1', '47301', '41418', '46230', '41346', '41315']"
STNR000130,"['28345', '28350', '28244', '28213', 'S28-10-1', '28530', 'E28-30']"
STNR000131,"['28345', '28346', '28350', '42171', '28233-2', '28872', '28530', 'S28-10-1', 'E28-30']"
STNR000132,"['28242', '28852', '28872', '28315', '28310', '28871', '28361', '28434', 'S28-10-1', '42435', '42490', '12108', '12130', 'E28-30']"
STNR000133,"['27412', '27230', '28872', '27430', '28310', '27419', '28855', '28864-1', '28345', 'S12-10-1', '2411', '27405', 'S28-10-1', '28480', 'E27-30']"
STNR000134,"['PRA28-30', '41683', '2411', 'DE28-20', '1035', '2411', '28342', '2633', '2411', '26436', '26436', '2411', '28852', '28315', '47304', '28361', '28434', '28855', '42429', '28315', '42490', 'S28-10-1', '28310', '28310', 'E27-32']"
STNR000135,"['26011', '2633', '1035', '26222', '26010', '27022', '28160', '28020', '28221', '10020', '2403', '42406', '27026', '28140', '42610', '28125', '27034', 'B28-20', '28345', '28530', '28233', '28480', '28864', '28855', '27455', '28350', '41315', '2411', '28242', '28420', '23522', '28455', 'S28-10-1']"
STNR000136,"['28864-1', '27246', '28150', '28480', '27455', '28361', '28350', '28345', '27410', '28855', 'S28-10-1', '28455', 'E27-32']"
STNR000137,"['28345', '28350', '28233-2', '28247', '28246', '28852', '28530', '28831', '28212', '28434', 'S28-10-1', 'E27-30']"
STNR000138,"['B27-20', '27412', '27405', '27432', 'S27-10-2', '27419', '27422', '27220', '23532', '28345', '2411', 'S28-10-1', '42490', 'S27-05-2', 'E27-35']"
STNR000139,"['28242', '28852', '28530', '28310', '28451', '28443', '28350', '28345', '28244', '27247', '27246', 'S28-10-1', '28233-2', 'E28-30']"
STNR000140,"['2601', '11440', '2631', '11418', '11442', '11440', '28415', '2631', '11441', '28885', '28434', '41315', '11443', '42171', '28515', '47318-1', '42490', '42171', '28434', 'E28-30', '2631', '11418', 'S28-10-1']"
STNR000141,"['27461', '27430', '27432', 'S27-10-2', '27419', '27220', '23532', '28345', '27412', '27405', 'S28-10-1', '27421', '27422', '36617', 'S27-05-1', '23531', 'S27-05-2', 'E27-30']"
STNR000142,"['27002', '26050', '27007', '27022', '27023', '1005', '26400', '2633', '27028', '27026', '27015', '26202', '27034', '2402', '10050', '27035-1', '42430', 'S22-02-1', '42610', '27051-1', '22111', 'B22-20', '27460', '27430', '28233', '28480', '28855', '2411', '28345', '27455', 'S28-10-1']"
STNR000143,"['26422', '28315', '33334', '26428', '42490', '28212', '12135', '23272', '26438', '23281', '26433', '33281', '27322', 'S28-10-1', 'E28-30']"
