Course,Prerequisites
11080,"11141.­11121.­11997.­11993.­11995.­11994.­11030/1103111305.­11311.­11312.­11411.­11561.­11115.­11120.­11126.­11203, The design task will be based on
   using BIM tools. The student should preferable be familiar with
   the BIM concept before signing up for the course."
11115,11121.11112
11117,"11121/11738/11937, Knowledge and experience on basic
   heat transfer"
11122,"11121, The course will focus on mass
transfer, while only shortly revisiting heat transfer since prior
knowledge of heat transfer in building components is assumed.
Students without this prior knowledge may participate, but will
need to work extra on their own on heat transfer."
11124,"Knowledge on basic heat transfer and building services or fluid
dynamics/mechanics or wind engineering"
11376,02405
11900,"Bachelor in Architectural Engineering at DTU or similar
education from another university. Course 11995 or
similar."
31240,31200/31241
42280,11823/11829/42543/42270/42273/42401/42913/42970
47420,"BSc in chemistry, physics, materials, chemical processes or
similar"
02105,"(02002/02003/02100/02101/02102).­(01017/01019) , An introductory course in
   programming + an introductory course in discrete mathematics. Or
   similar competences."
02110,"02105/02326, The course builds on 02105
   Algorithms and Data Structures I."
02121,"02101, The student currently follows or has
followed a course in introductory
programming."
02122,"(02104/02121).­02105.­02161, Introductory courses to
   programming and software development"
02128,"02101.02105.02121.02161, Students are expected to have
   basic knowledge of Java programming, algorithms and
   datastructures as well as elementary software development
   corresponding to said courses."
02132,"02100/02101/02102, Prerequisites are: the command of
   concepts and terminology about development, test and
   documentation of programs. An introduction to the language C
   will be given."
02141,"(01001/01019).­02105.­(02100/02157) , Basic knowledge of discrete math
   (logic, sets, graphs, functions, induction) - as provided e.g.
   in 01001 and 01019. Basic knowledge of algorithms and data
   structures - as provided e.g. in 02105. Basic knowledge of
   functional programming - as provided e.g. in 02100 and in
   02157."
02148,"(02101/02102).­02161.­02105, Ability to program in an object
   oriented language like Java is recommended. Basic knowledge of
   algorithms, data structures and software engineering is also
   recommended."
02157,"(02002/02003/02100/02101/02102/02631) .
   (01017/01019) , Programming in an
   imperative/​object-oriented language, discrete mathematics
   (latest at the same semester)."
02158,"(02100/02101/02102).­(01017/01019).­02105.­(02132/02135).­02141, Skills in sequential,
   object-oriented programming, e.g. in Java. Knowledge of
   computation modelling and application of predicate logic. Use of
   basic data structures. Basic knowledge of computer systems
   organization."
02159,"(02100/02101/02102).­02105.­02132, Experience in sequential
   programming; basic knowledge of computer systems organisation;
   experience with the C programming
   language."
02161,"02100/02101, Basic Java programming
   skills"
02162,"02105.02161, Courses ""Algorithms and Data
   Structures 1"" (02105) and ""Software Engineering
   1"" (02161) or equivalent courses are recommended
   prerequisites for this course."
02170,"(01017/01019).­02105.­02110, or equivalent knowledge about (1)
   discrete mathematics: set theory and logical operators, (2)
   programming, algorithms and data structures (at the level of
   02105), and (3) balanced trees (as taught in 02110)."
02221,02158
02239,"Introductory courses in programming, software engineering and
system architecture (e.g. corresponding to 02101, 02161 and
02159)"
02247,"0214102157, The students are expected to be
familiar with fundamental computer science concepts like inference
rules, regular expressions, and context-free grammars. This
background can be obtained in the course 02141. The students must
be fluent in at least one programming language; experience with
functional programming (in particular, with F#) is highly
recommended. This background can be obtained in the course
02157."
02267,"(02100/02314/02160).­(02161/02160/02324) , Solid experience in Java
   programming. Basic knowledge of concepts of computer
   architecture related to the Internet, like socket, URL,
   hostname, and port. Being able to install software and to
   administrate computer systems using command line
   tools."
02268,"(02161/02160).02105, Solid working knowledge of Java.
   Knowledge of algorithms and data structures. Basic software
   engineering skills. Experience with command-line interface and
   small scripts."
02291,"02141/02161/02170, Knowledge of standard modelling
   languages in computer science (UML, Automata,
   ER)"
02393,"Students are expected to have some programming experience with
at least one programming language."
02450,"(01001/01002/01003/01004/01005).­(02402/02403).­(02002/02101/02102/02525/02631/02632/02633/02692) , Basic course in linear algebra
   and calculus, basic knowledge of probability theory or
   statistics, basic knowledge of either Matlab, Python or
   R."
26027,None
02180,"(02100/02101/02102/02312/02314).­(02105).­(01017/01019) , or equivalent courses. You need
   experience with algorithms and data structures, programming,
   propositional logic and recursive procedures. The course
   requires experience with implementing non-trivial algorithms in
   a standard programming language like Java or Python. The course
   can be taken by bachelor students satisfying the recommended
   prerequisites."
02285,"01017.02101.02105.02180. , or equivalent courses, including
knowledge about graph search algorithms, search heuristics and a
bit of predicate logic. Furthermore, the course requires experience
with implementing non-trivial algorithms and larger software
systems."
26028,None
42101,Knowledge of linear algebra.
02403,"01001/01002/01003/01004/01005, At the latest at the same
   time."
41083,41612/42612
41501,"(01020/01021/01002/01003/01005).­
   (10002/10010/10011/10001/10022) , 10022 at latest at the same
   time."
41526,"41502/41534, Knowledge of beam theory as well as
theory of elasticity including transformation of stresses and
strains"
41635,"41612, Product Design and
Documentation"
41704,"41713/41781.41502, Fundamental course in
   manufacturing processes. Course on strength of materials.
   Stresses and strains, Hooke's generalized law. Tresca's
   and von Mises' yield criteria."
42421,42405
01410,"01017/01019, Discrete Mathematics
   (01017/01019) is a strongly recommended
   prerequisite."
01426,"01410, Participants should be interested in
discrete mathematics. The course is a sequel to the course 01410,
and it is strongly recommended to attend 01410
first."
02220,"02158, Formerly 02152. See
remarks."
02242,"02141, The students are expected to be
familiar with regular and context-free languages as well as
semantics; this background can be obtained in the course 02141. The
students must be fluent in at least one programming language and be
able to use relevant data structures."
02246,"02141, The students are expected to be
familiar with finite automata and/or transition systems; this
background can be obtained in the course 02141. The students are
expected to have a basic knowledge about logic and probability
theory. The students must be able to write programs in a
programming language."
02249,"02110.02141.02402/02403/02405, Knowledge of algorithms and
   basics of formal languages and statistics/probability
   theory."
02256,"02156.02157.02180, Proof systems for first-order
   logic, functional programming, basic algorithms in artificial
   intelligence. Mathematical maturity. Logic programming is an
   advantage."
02263,"(01017/01019/01904) .
   (02100/02101) .02157.
   (02141/02156/02158) , i.e. (1) mastering discrete
   mathematics: sets, functions, logical expressions in predicate
   logic, (2) mastering imperative programming (e.g. in Java) and
   functional programming (e.g. in F#), and (4) knowledge about
   software modelling."
02281,"02156, Acquaintance with BNF-grammars,
recursive data struktures and functions, truth tabels, and
relationaldatabases (cf. prerequisite
courses)."
02284,"0215602180/02281, Familiarity with recursion in
programming, familarity with UMl or ER modelling, familiarity with
predicate logic."
02913,"Students should have familiarity with formal
methods."
02244,"General knowledge on programming languages (syntax and
semantics)."
02405,"01001/01002/01003/01004/01005, The student should be familiar
   with basics mathematics. Preferably by taking course 01005 or
   something equivalent not later than
   02405."
02443,"02402, or a similar course in elementary
statistics. Basic programming skills."
22100,"01005.­(02402/(27024.­23214)).­(22101/02631/02632/02633).­(27002/27008).­22111, It is assumed that the student
   has existing knowledge of mathematics, statistics, basic
   programming (language irrelevant), life science and
   bioinformatics corresponding to the level of bachelor's
   courses at DTU (see relevant course numbers
   above)."
22112,"22110/22113/22163, To be able to participate in the
   course you must be very comfortable with programming in Python.
   The course is based in Life Science and knowledge of various
   biological file formats is necessary."
22202,"27231/27232, or equivalent"
22230,"27322/27070, The teaching will only briefly
   cover the cellular and humoral elements of the immune system and
   how the immune system reacts to infection. Thus it is a
   prerequisite that the student is already familiar with these
   elements of basic immunology or achieves this knowledge in
   parallel e.g. by taking the course in immunology
   (27070)."
22231,"The course is designed for execution just prior to the master
thesis project, and can link directly to a master thesis project if
such is known/selected. Alternatively a number of projects will be
presented during the course, and can be continued into a MSc thesis
project."
22236,27070.22210
23258,"27002/27008og27051, Require basic knowledge of
   microbiology."
24006,24002.24004.02402
24023,"27002/27008/27022/24002, or equivalent. Knowledge of cell
   structure, its biological functions, as well as biochemical and
   molecular biological processes together with biotechnological
   processes. Simple mathematical handling of biological
   data."
27641,"27022.­27026.­(27611/27622/22111).­(27040/27042/36040/36042/22140/22142) , Familiar with the use of
   computers, with special emphasis on the modeling of simple
   biological processes using existing software and scripting tools
   like R, Matlab or python."
36611,"27002/27008, Basic understanding of biological
   processes used in the industry. Knowledge of cell structure,
   biological functions, biochemical and molecular biological
   processes together with biotechnological
   processes"
41020,"41011.42011, 41011/42011 User-oriented design
   and 42011 Product usability and design have to be passed, since
   terms and methods from these courses are essential for the
   project work."
41031,41012/42012.41010/42010
41035,41015.(01005/01007)
41045,01005/01007
41051,"41011/41603/41020, Students are required to have
synthesis competencies equivalent to 41011 (former 41010), 41603
and/or 41020"
41061,"42022/42042, The course should be taken in
   parallel with the bachelor project. The bachelor project is
   basis for the assignments."
41612,"41601.41602.41603.41703/42303/42301/42302/42305/42309/41781/42020/42901.­42020/41020, Production
   technology"
41618,"The course requires that the student follows one of the
bachelorstudies Design & Innovation or Manufacturing &
Mechanical Engineering."
42021,"42011, Completion of 42011 Product
Usability and Design."
42042,42011.42021
11034,11031
11050,"11941/11311/11744/11746.­11023, The student should be able to
   illustrate a structure in 3D in one way or another."
11305,"01035.11343.02601.02631(matlab) , ...or
   equivalent"
11320,11010.41203.11311/62263
11351,"11311/11521/11941, Reinforced Concrete
   Design"
11961,"Knowledge of computational frame analysis and finite element
analysis is necessary."
11982,"11121/11141, Education similar to Bachelor in
   Architectural Engineering at DTU"
42259,"courses in planning and management of building
projects"
42282,13548and42995
01034,"01002/01004/01005/01006/01015/01920, Knowledge of complex numbers,
   matrix calculations, eigenvalues and eigenvectors for matrices,
   systems of linear first order differential equations and linear
   differential equations of first and second
   order."
02502,"(01001/01002/01003/01004/01005/01006/01015/01016).­(02101/02102).­(02402/02403/02405).­(02002/02631/02632/02633/02692) , Basic knowledge of probability
   theory or statistics. Basic course in linear algebra. Basic
   programming experience in for example Matlab, Python, C, C#, C++
   or Java."
02805,"02100/02101, The course involves work with
   high level programming languages (e.g. Python), so practical
   programming experience is recommended (e.g. in
   Python/​Java/​JavaScript/​C/​C++)"
42005,"Math 1, Statistics"
42114,"42101, The course requires the student to
have taken an introductory course in Operations
Research."
42577,"02402/02403/02105, Introductory courses in
   statistics are very important."
42583,42580
42584,"At least 4 of the programme specific courses in Data Science
and Management must be passed."
42586,"02105.02450, Algorithms and datastructures
   (02105). A pre-requisite to the course is basic programming
   skills, preferably in Julia."
41072,"42040.42041, Completed Bachelor level at
   ""Design & Innovation"" or similar. Students are
   expected to have familiarity with industrial design,
   mechatronics and electronic prototyping tools such as Arduino /
   Raspberry Pi."
41073,41051
41078,"41010.41031, Advisable prerequisites for this
   course are the ability to: - describe and apply basic design
   methods - identify design related problems and needs in target
   groups - prepare a basic design specification - select and apply
   relevant visual communication tools in the different phases of
   the industrial design process - design a basic product - build a
   full scale physical 3D model of a selected concept - work
   independently on an individual design assignment - argue for a
   selected design solution"
41084,"41015/4165942061/4162841020, Conceptualisation similar to
   42061/41628, basic material science like 41015/41650, experience
   from completed development project as for example 41020 or
   bachelor project. Knowledge of biology is an advantage but not a
   prerequisite."
42071,"BSc in Design and Innovation/Mechanical Engineering
(DTU)."
42090,"42061/41628/41071/42071, Bachelor in Design and Innovation
   or similar qualifications."
42350,"42349, This is the second of two courses
and it is required that the first course (42349) is
taken."
11352,11312/11747/11931eller11318/11748/11938
11465,"11411.11463.11462.11464.11311, Basic soil mechanics and
geotechnical engineering. Classical design of earth-retaining
structures. Constitutive modelling. Basics of finite element
method. Basics of reinforced concrete design."
11563,"11561.11562, (11561) Construction Materials -
   use and testing, (11562) Materials Science for Civil
   Engineers"
41106,41111.­(41102/41312).­02631
41111,41101/41102/41312
41117,"41106/41111/41107, It would be an advantage to have
   taken: 41126 Fluvial and Marine Sediment
   Transport"
41126,"41101/41102.41111, Elementary programming, for
   example with MATLAB or another programming
   language."
41129,(41102.41111)/41312
41214,41501/41203/41236
41224,"41102/41312, Basic knowledge about
   hydrodynamics and/or fluid mechanics."
41113,"41111, Knowledge of linear wave dynamics
and basic hydraulics."
11127,"11121.­(11112/11947/11739/11937)/(41814.­(41401/41045)) , Knowledge on heat
   transfer."
11129,11127/11115
11221,"41311/41814/41815, Participants should have
   fundamental knowledge of fluid mechanics, heating,
   air-conditioning and ventilation principles."
42530,Bachelor project
11331,(41205)
11353,"The course is given on Master-level where a good understanding
of static systems and calculation methods is
expected."
11374,"41214, Dynamics of Structures: Theory and
Analysis"
11375,"11911/41236.­11921/41235.­11345/11346.­11343/41206.­11311.11312.11351.11352, The course requires a thorough
   knowledge of the prerequisite courses. This includes proficiency
   in analysis of statically indeterminate beam-, frame- and plate
   structures as well as design of structures in steel, concrete
   and post-tensioned concrete."
11464,"11411/62337.11462.11463. , Basic soil mechanics: effective
   stress, deformation, drained and undrained strength,
   one-dimensional consolidation"
23532,"Completed bachelor degree in Food Technology, Biotechnology,
Chemical Engineering or a related area."
27303,"27022, Basic knowledge in biochemistry and
protein chemistry."
27324,"27322, Some knowledge of immunology is
necessary, e.g. by following the course in immunology in
parallel."
27405,"27034/27416.­27611/36611/22111, Fundamental knowledge on basic
   principles of fermentation technology and biotechnological
   products produced by microorganisms. Knowledge of the basic
   quantitative elements, the underlying science, and the general
   concepts of biotechnological processes. Knowledge of cellular
   metabolism."
27432,27230.27430
36617,BSc. in Biotechnology or equivalent
01415,"01018, Understanding of concepts from
abstract algebra: linear algebra, rings, ideals, quotient rings,
the isomorphism theorem, finite fields. Some experience with
programming and algorithms. Students that have not taken 01018 but
have 01017 and 01426 should be able to follow the course but should
expect reading up on the mentioned algebra."
02429,"(02402/02403/02323).­02411.­02418, In addition to an introductory
   statistics course (e.g. 02402) it is recommended to have at
   least two relevant statistics courses. The two most relevant
   courses are 02411 and 02418."
02457,"02450, Linear algebra, basic signal
analysis and introductory statistics. Introduction to machine
learning"
02582,"02409/02450/27411, It suffices with one of the above
   mentioned courses. Alternatively a similar course in advanced
   statistics or data analysis. Knowledge of Matlab, R or Python is
   an advantage."
02614,"02635, Experience with programming in C/C++
and numerical computations. Knowledge of the Linux/Unix command
line, and programming of shell-scripts is an advantage."
02634,"02525/02631/02632/02633/02692, Knowledge of programming in one
   of the languages Matlab or Python."
42104,"The students should have done introduction courses in
mathematics (calculus and linear algebra) and statistics (basic
probability theory) and be familiar with programming and able to
work in R, Matlab, Python or similar programs. It is a benefit to
have prior experience with data analysis."
42105,"42104, Introduction to Financial
Engineering"
42106,"42104, Introduction to financial
engineering"
42184,"02402/02403/02105, Introductory courses in
   statistics are very important (programming is also very
   desirable, but not fundamental)"
11010,11000
11318,"11341.11342, Knowledge about loads and safety
   of structures, corresponding to the content in 11311 Concrete
   Structures."
11342,11341/11911
11561,"11000/11562, 11000 Engineering work, 11562
   Materials Science for Civil Engineers"
11821,"Arctic field safety course (included as part of the
introduction week for The Arctic Civil Engineering and Fisheries
Technology educations)."
11825,11823
11832,"Arctic field safety course (included as part of the
introduction week for The Arctic Civil Engineering and Fisheries
Technology educations)."
11836,11832
11990,"11141.11341, The courses are taken
   concurrently and are a prerequisete for the project work in
   January"
11993,11990
11994,11990
11997,11990.11993
28022,"(28016, 28322 concurrent)"
28157,28012/28022.28322/28342
28342,28022.28322
28352,28016.­28022.­01920.­01901.­28012
11412,01920.(62328.62327)/(11821.11831)
11420,"11462, or similar introductory course in
physical geology"
11466,"11418.11411.11441, Rock physics and rock mechanics.
   Basic geotechnical engineering. Geology or equivalent"
11767,62318.01901
11830,"General chemistry, Environmental processes or other chemical
background knowledge."
41236,"62331, Basic skills in statics from the
course 62331."
62139,"Basic knowledge of financial accounting, budgeting and
investment corresponding to e.g. 62094/62103, 62223/62174, 62000 or
62221"
62263,62327/11835
62276,62265
62999,First four semesters must be passed.
11142,"11141/11000/11937/11738, A basic knowledge on optical and
   energy related properties of windows is
   required."
11526,"Must have kompetences equal to being on the last semester of
B.sc, B.eng or Msc level."
11909,11982 or similar
11996,"The course is part of the recommended study plan for bachelors
in Architectural Engineering."
41628,"41603.41612, Students from non-mechanical
   fields are required to have synthesis competencies equivalent to
   41612"
42281,42262/12205/12124
42433,42429/42430/42421/42922/42490
02224,"02158, Knowledge of general concurrent
programming principles: Processes / threads, synchronization,
communication. Knowledge of computer science modelling in general
and models of concurrency in particular. Knowledge of temporal
logic. Knowledge of basic probability
theory."
02232,"02239/01410, The course requires basic
understanding of computer security and/or cryptology, but is
possible to follow at the same time as
02239."
02238,"02239.02502, The course assumes basic
   knowledge of computer security and students may also benefit
   from a basic understanding of image
   analysis."
02282,"(02105/02326).02110, Basic courses in algorithms and
   data structures (comparable to 02105 + 02110). Mathematical
   maturity."
02287,"01017/02156/02180, Discrete mathematics, in
   particular propositional logic and first order logic; elementary
   probability theory."
02289,"02110, Basic courses in algorithms and data
structures (comparable to 02105/02326 + 02110). Mathematical
maturity."
42435,Bachelor
01036,"01035, Subjects from 01005 or an equivalent
course: The complex numbers, vector spaces, eigenvalues and
eigenvectors, linear (ordinary) differential equations. Subjects
from 01035 or an equivalent course: Solution of
homogeneous/​​inhomogeneous differential equations and systems of
differential equations, infinite series, power series, Fourier
series."
11343,11342/41203
11829,118321183311836
11831,11821
11833,11832og11836
11835,11825
11837,11832
62259,41236
62261,62319eller41872
62270,62327/62318/
62273,"62331/41236, Building Design
   Project/Structural Mechanics"
62279,62269
62298,62273.62279.62269
62990,First four semesters must be passed.
01606,"(24004/01604).­(02402/02403) , Knowledge of mathematical models
   for population dynamics and disease spread. An introductory
   course in statistics"
26411,26400/26471
01604,"(24002/27001/02631).­01005, from the courses the prerequisite
   is an introduction to programming in R. Mathematics 1 can be
   followed at the same time."
25106,"27008/27002/12701, Topics students should know
   before taking this course: Basic structure of DNA, mitosis and
   meiosis, central dogma, Mendelian
   inheritance"
23256,"Basic statistical skills and knowledge, such as understanding
probability and interpretation of results of statistical
tests."
12203,"At least 4 of the technology core courses shall be
passed"
42112,"42101, or a similar course in Introductory
Operations Research. You are expected to be familiar with linear
programming prior to the course."
42351,42340
42371,"42401.42415, Introduction to Management Science
Engineering Economy"
42543,"Bachelor in Engineering Management, Design and Innovation or
equivalent"
42575,"Good understanding of project management, organisation and
product development is advised."
42879,42016/12772/42178/42576
02156,"(02002/02003/02100/02101/02102).­(01017/01019).­02105, Programming in a declarative or
   imperative language, discrete mathematics, algorithms and data
   structures. Functional programming is an
   advantage."
02193,"02239/02233, The course is an advanced course
that requires basic understanding of both computer and network
security."
02233,"02239, It is assumed that participants know
a variety of commonly-used protocols for communication in data
networks, and how they work."
02266,"02809/02161/02291, Knowledge of UX prototype
   development, agile software development and/or system
   integration"
02269,"02105.02158.02141, Understanding of algorithms and
   basic data structures, together with some general computer
   science modeling knowledge. Experience with notions of
   concurrent programming is also
   advisable."
02456,"02450.­01005.­(02405/02402/02403/02409).­(02002/02631/02632/02633/02634) , Calculus (chain rule of
   differentiation), basic linear algebra, basic multivariate
   probability theory, statistics and machine learning (maximum
   likelihood, Bayes, over- and underfitting, regularization) and
   programming in Python."
42634,BSc/BEng
02417,"(02402/02403) .
   (02631/02525) , An elementary course in
   statistics and an introductory course in
   programming."
02610,"02601.­02402.­(02002/01020) , Introductory numerical
   algorithms, introductory statistics, and experience with
   programming in Python."
02619,"02612, A course in constrained
optimization"
28140,"28020.28160, Knowledge of simulation software
   such as Maple, Matlab or Python."
28221,26222
28231,"28121/28344, or similar experimental course
   and Bachelor in Chemistry & Technology og
   Biotechnology"
28242,"Knowledge of physical chemistry corresponding to course 26222
of mathematics corresponding to 01035 or 28160. Knowledge about
chemical process technology corresponding to 28020, Introduction to
Chemical Reaction Engineering 28140. It is particularly important
to know the ideal reactor types: Stirred tank reactor, batch
reactor and plug flow reactor."
28350,"Bachelor in Chemical and/or Biochemical Engineering, or
equivalent. Basic courses in mass and energy balances, and chemical
reaction engineering, corresponding to 28020 and 28140, must have
been part of the bachelor education. In addition, it is highly
recommended to take the MSc course 28420 Separation Processes
before this course. The 28420 will provide methods and skill set to
design separation systems that make up an important part of the
process flowsheets."
28361,"01035, 28160, 28864, or similar courses. Initial knowledge of
programming (preferably, Matlab or
Python)."
28420,28020/28221/28322/26222
28451,"28351/28150/28864, An introductory course in
   chemical process control similar to 28351 or 28150. An
   introductory course into Matlab/Simulink software such as
   28864."
